tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
2185.00;397364893#1_0;79.42;12.33;1873.00;0.01;42143912#2_0;5.10;0.00;tripinfo_veh3105 routing_veh3105;312.00;veh3105;1;2382.25;0.91;0.00;83.84;veh_passenger;;7;31.00
2185.00;406873917_0;39.25;1.57;1949.00;0.61;893239410#0_0;5.10;0.00;tripinfo_veh3230 routing_veh3230;236.00;veh3230;1;1868.61;0.92;0.00;60.32;veh_passenger;;2;28.00
2187.00;1082150375#1_0;25.51;3.50;1401.00;0.93;-1180151578#1_0;5.10;18.00;tripinfo_veh2321 routing_veh2321;786.00;veh2321;1;8574.86;1.30;0.00;324.90;veh_passenger;;9;71.00
2187.00;402525979_0;122.94;15.37;1591.00;0.31;-242069304#1_0;5.10;16.08;tripinfo_veh2637 routing_veh2637;596.00;veh2637;1;5694.89;1.16;0.00;160.67;veh_passenger;;6;61.00
2188.00;406261770#2_0;101.12;8.91;1754.00;0.44;-338566778#1_0;5.10;0.00;tripinfo_veh2907 routing_veh2907;434.00;veh2907;1;4514.34;1.10;0.00;77.04;veh_passenger;;3;9.00
2188.00;-48101876#3_0;9.09;10.78;2028.00;0.58;535613367#0_0;5.10;0.00;tripinfo_veh3361 routing_veh3361;160.00;veh3361;1;1470.29;0.94;0.00;24.49;veh_passenger;;1;1.00
2189.00;250129559#2_1;87.09;15.85;1858.00;0.09;-1180116726_0;5.10;16.49;tripinfo_veh3080 routing_veh3080;331.00;veh3080;1;3734.66;1.19;0.00;78.65;veh_passenger;;2;22.00
2189.00;172851604#1_0;11.61;14.32;1887.00;0.74;-326566170#3_0;5.10;0.00;tripinfo_veh3127 routing_veh3127;302.00;veh3127;1;3792.37;1.08;0.00;70.85;veh_passenger;;1;3.00
2189.00;29223062#10_0;29.40;8.62;2044.00;10.55;553318161#0_2;2.12;0.00;tripinfo_veh3371 routing_veh3371;145.00;veh3371;1;1341.96;1.09;0.00;19.82;veh_passenger;;1;1.00
2190.00;-48537876#0_0;77.88;13.91;1804.00;0.38;-122485130#0_0;5.10;0.00;tripinfo_veh2990 routing_veh2990;386.00;veh2990;1;3775.03;1.02;0.00;101.95;veh_passenger;;5;37.00
